City (Template);Product (Template);Price/pc. (Template);Personell (Template);Number of Machines (Template);R&D (Template);Customer Support (Template);Marketing & Advertising (Template);Sales Quantity (Template)
Frankfurt;E-Bike;0,35;2000000;450;800000;350000;800000;31658837
Berlin;E-Bike;0,78;2850000;525;500000;400000;550000;34099258
Stuttgart;E-Bike;1,25;2620000;520;790000;410000;950000;41327975
Hamburg;E-Bike;0,95;2350000;630;550000;290000;550000;30562828
Frankfurt;Roller;1,34;1900000;420;750000;330000;1030000;33663887
Berlin;Roller;1,43;1570000;420;570000;400000;600000;24623698
Stuttgart;Roller;0,89;1560000;625;720000;450000;550000;26282672
Hamburg;Roller;1,55;1820000;530;650000;370000;1030000;32832910
Frankfurt;Banduhr;0,45;2350000;550;790000;370000;1030000;38663620
Berlin;Banduhr;0,78;2350000;530;500000;300000;690000;30596082
Stuttgart;Banduhr;0,75;2750000;500;750000;370000;860000;33616017
Hamburg;Banduhr;0,75;2150000;625;550000;370000;590000;32808228
Frankfurt;Halsband;0,31;3500000;425;650000;330000;690000;45125067
Berlin;Halsband;0,35;3700000;620;520000;390000;930000;48035282
Stuttgart;Halsband;0,1;3950000;420;790000;370000;510000;47549554
Hamburg;Halsband;0,25;4200000;450;600000;350000;860000;50513480
Frankfurt;Radio;0,15;2150000;620;720000;330000;860000;34090005
Berlin;Radio;0,25;2650000;620;500000;400000;950000;37751109
Stuttgart;Radio;0,17;2900000;550;750000;350000;1000000;38181148
Hamburg;Radio;0,2;2400000;500;450000;350000;1050000;35195783
